,300,500,550,600
21.8532,3118.5633,1273.2766,1162.3908,1057.8354
21.8792,1940.8032,1153.0187,1063.0006,1033.0174
21.9052,1324.0811,1049.7424,1032.4556,1012.6992
21.9312,1132.3252,989.4996,1016.0649,975.2713
21.9572,1073.2069,963.1285,967.5484,959.6364
21.9832,1055.5029,958.5935,933.2775,968.3353
22.0092,1000.49,954.4159,942.0702,946.7708
22.0352,954.7433,959.0597,941.4447,943.5851
22.0612,984.842,965.7921,942.2381,948.1382
22.0872,974.6346,952.3271,961.9803,923.1387
22.1132,949.7202,935.3955,964.5338,919.2572
22.1392,987.2789,943.0697,975.0406,927.7617
22.1652,971.2763,943.3454,943.0438,944.5527
22.1912,967.5675,960.2752,920.5111,936.4422
22.2172,947.3461,967.6062,957.4416,893.3461
22.2432,964.6967,959.8989,966.9362,916.902
22.2692,965.5495,949.4163,933.9832,924.5328
22.2952,936.3559,925.5522,932.6565,867.3252
22.3212,989.3633,942.0205,945.346,906.2508
22.3472,945.9191,881.9024,924.1893,915.3702
22.3732,974.4135,929.7737,948.9532,945.7803
22.3992,947.9941,962.3681,940.4659,902.3471
22.4252,942.1428,901.9714,950.3141,908.7147
22.4512,962.4387,917.294,959.0201,867.8329
22.4772,953.3723,968.7287,907.3564,915.3729
22.5032,895.5561,935.2187,968.4968,920.4989
22.5292,987.9154,887.3529,932.1276,896.1262
22.5552,1017.0946,952.2269,893,854.5645
22.5812,984.8564,932.2216,893.1976,923.6826
22.6072,908.3841,923.1232,901.1319,959.2464
22.6332,946.1558,920.5105,927.9115,937.6672
22.6592,933.5035,941.4684,912.0211,908.6362
22.6852,940.2637,917.7367,929.2108,889.3687
22.7112,960.0401,912.9239,940.704,907.7717
22.7372,940.7909,922.8954,936.3767,933.4061
22.7632,928.6659,908.4393,920.1281,891.2541
22.7892,948.2758,868.1132,917.4532,926.8818
22.8152,1007.4007,943.0939,896.8484,925.3502
22.8412,981.6712,886.5592,941.1631,923.5417
22.8672,933.0657,962.7001,909.1845,952.2847
22.8932,839.822,941.8273,942.4712,915.021
22.9192,831.2833,974.8628,947.5197,933.7242
22.9452,904.3499,972.6478,945.1671,1023.2392
22.9712,925.366,972.072,1009.6591,996.3655
22.9972,912.7281,1071.0388,967.7293,1027.7782
23.0232,906.4339,1071.5083,1063.095,1146.2025
23.0492,922.3492,1056.1972,1166.696,1151.9359
23.0752,992.1816,1117.7276,1150.891,1097.4994
23.1012,1011.9832,1088.0253,1139.0101,1151.9537
23.1272,972.4306,1045.4629,1069.7535,1088.6889
23.1532,1013.1312,1045.9793,1009.2619,995.9445
23.1792,1020.7857,951.9691,984.7346,992.0612
23.2052,1016.2027,996.014,997.4326,943.0671
23.2312,1050.1837,953.3713,928.6831,978.0323
23.2572,1074.551,939.7245,927.8189,975.3019
23.2832,1075.0703,979.9069,886.1634,945.2495
23.3092,1099.834,909.4176,957.5021,928.2835
23.3352,984.6284,920.2873,927.6057,935.1887
23.3612,984.6992,896.8018,872.7037,920.7011
23.3872,955.7396,909.1302,904.3805,927.0101
23.4132,974.8823,897.7986,953.8846,929.7602
23.4392,931.0109,975.1853,955.6492,902.1546
23.4652,958.4098,911.2984,931.7734,904.0217
23.4912,941.0413,928.7613,901.64,902.449
23.5172,974.818,930.6384,834.8103,876.788
23.5432,969.5428,836.1559,870.3373,891.9315
23.5692,954.6917,872.7978,882.4617,926.3606
23.5952,943.8937,894.7276,876.5149,907.0597
23.6212,944.4021,886.5907,915.8363,951.4448
23.6472,886.4816,880.0461,911.7658,908.6447
23.6732,943.6207,924.2903,934.5495,933.0434
23.6992,980.1898,937,899.598,884.6372
23.7252,946.1878,957.5476,917.4409,921.0326
23.7512,937.7555,960.2445,991.5946,915.467
23.7772,1002.0001,950.847,952.2234,896.8823
23.8032,1063.4878,948,908.3311,904.7001
23.8292,973.4067,925.6387,888.4587,877.2613
23.8552,965.0135,937.6309,913.1679,925.4699
23.8812,961.8658,978.97,935.5223,924.0449
23.9072,982.6627,1003.3735,958.6723,927.5229
23.9332,958.1912,1013.4532,1061.0669,997.3929
23.9592,934.2828,1014.6566,1049.2471,1049.8385
23.9852,975.3406,1019.2944,1037.2214,1081.5158
24.0112,1011.6894,1045.4676,1104.9727,1217.8123
24.0372,1056.2334,1142.0961,1245.4904,1352.4053
24.0632,1085.8485,1248.4111,1354.0345,1391.8961
24.0892,1084.7789,1416.7537,1524.4633,1468.2754
24.1152,1186.9085,1561.0554,1607.9391,1602.7673
24.1412,1338.9195,1635.9314,1616.8408,1652.3751
24.1672,1466.0812,1643.0067,1651.2478,1621.3445
