#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.151000000000000E+00  -.133659396981252E+01  0.324607546322654E-02  -.748165953488663E+00  0.181700890389450E-02
     0.152000000000000E+00  -.133661774487133E+01  0.326775251619831E-02  -.748152586529913E+00  0.182907754031707E-02
     0.153000000000000E+00  -.133664167815891E+01  0.328943315308430E-02  -.748139131085446E+00  0.184114688410873E-02
     0.154000000000000E+00  -.133666576970103E+01  0.331111739819139E-02  -.748125587150194E+00  0.185321694008759E-02
     0.155000000000000E+00  -.133669001952363E+01  0.333280527584102E-02  -.748111954719053E+00  0.186528771307500E-02
     0.156000000000000E+00  -.133671442765281E+01  0.335449681036923E-02  -.748098233786892E+00  0.187735920789566E-02
     0.157000000000000E+00  -.133673899411489E+01  0.337619202612683E-02  -.748084424348534E+00  0.188943142937755E-02
     0.158000000000000E+00  -.133676371893631E+01  0.339789094747939E-02  -.748070526398777E+00  0.190150438235199E-02
     0.159000000000000E+00  -.133678860214372E+01  0.341959359880749E-02  -.748056539932383E+00  0.191357807165373E-02
     0.160000000000000E+00  -.133681364376392E+01  0.344130000450667E-02  -.748042464944075E+00  0.192565250212080E-02
     0.161000000000000E+00  -.133683884382392E+01  0.346301018898765E-02  -.748028301428547E+00  0.193772767859473E-02
     0.162000000000000E+00  -.133686420235085E+01  0.348472417667636E-02  -.748014049380456E+00  0.194980360592045E-02
     0.163000000000000E+00  -.133688971937208E+01  0.350644199201411E-02  -.747999708794420E+00  0.196188028894634E-02
     0.164000000000000E+00  -.133691539491510E+01  0.352816365945761E-02  -.747985279665033E+00  0.197395773252427E-02
     0.165000000000000E+00  -.133694122900761E+01  0.354988920347913E-02  -.747970761986847E+00  0.198603594150962E-02
     0.166000000000000E+00  -.133696722167746E+01  0.357161864856657E-02  -.747956155754377E+00  0.199811492076128E-02
     0.167000000000000E+00  -.133699337295270E+01  0.359335201922359E-02  -.747941460962112E+00  0.201019467514169E-02
     0.168000000000000E+00  -.133701968286154E+01  0.361508933996973E-02  -.747926677604497E+00  0.202227520951687E-02
     0.169000000000000E+00  -.133704615143236E+01  0.363683063534044E-02  -.747911805675949E+00  0.203435652875643E-02
     0.170000000000000E+00  -.133707277869374E+01  0.365857592988727E-02  -.747896845170841E+00  0.204643863773358E-02
     0.171000000000000E+00  -.133709956467441E+01  0.368032524817787E-02  -.747881796083527E+00  0.205852154132520E-02
     0.172000000000000E+00  -.133712650940328E+01  0.370207861479623E-02  -.747866658408313E+00  0.207060524441184E-02
     0.173000000000000E+00  -.133715361290946E+01  0.372383605434265E-02  -.747851432139476E+00  0.208268975187770E-02
     0.174000000000000E+00  -.133718087522220E+01  0.374559759143394E-02  -.747836117271254E+00  0.209477506861071E-02
     0.175000000000000E+00  -.133720829637096E+01  0.376736325070347E-02  -.747820713797853E+00  0.210686119950254E-02
     0.176000000000000E+00  -.133723587638535E+01  0.378913305680128E-02  -.747805221713448E+00  0.211894814944862E-02
     0.177000000000000E+00  -.133726361529516E+01  0.381090703439420E-02  -.747789641012172E+00  0.213103592334814E-02
     0.178000000000000E+00  -.133729151313039E+01  0.383268520816597E-02  -.747773971688121E+00  0.214312452610408E-02
     0.179000000000000E+00  -.133731956992117E+01  0.385446760281732E-02  -.747758213735370E+00  0.215521396262334E-02
     0.180000000000000E+00  -.133734778569783E+01  0.387625424306604E-02  -.747742367147942E+00  0.216730423781653E-02
     0.181000000000000E+00  -.133737616049087E+01  0.389804515364715E-02  -.747726431919837E+00  0.217939535659824E-02
     0.182000000000000E+00  -.133740469433099E+01  0.391984035931299E-02  -.747710408045014E+00  0.219148732388693E-02
     0.183000000000000E+00  -.133743338724902E+01  0.394163988483328E-02  -.747694295517404E+00  0.220358014460497E-02
     0.184000000000000E+00  -.133746223927602E+01  0.396344375499528E-02  -.747678094330892E+00  0.221567382367868E-02
     0.185000000000000E+00  -.133749125044319E+01  0.398525199460388E-02  -.747661804479332E+00  0.222776836603833E-02
     0.186000000000000E+00  -.133752042078194E+01  0.400706462848171E-02  -.747645425956545E+00  0.223986377661821E-02
     0.187000000000000E+00  -.133754975032381E+01  0.402888168146916E-02  -.747628958756322E+00  0.225196006035664E-02
     0.188000000000000E+00  -.133757923910055E+01  0.405070317842463E-02  -.747612402872410E+00  0.226405722219593E-02
     0.189000000000000E+00  -.133760888714411E+01  0.407252914422457E-02  -.747595758298520E+00  0.227615526708248E-02
     0.190000000000000E+00  -.133763869448656E+01  0.409435960376354E-02  -.747579025028335E+00  0.228825419996677E-02
     0.191000000000000E+00  -.133766866116021E+01  0.411619458195442E-02  -.747562203055494E+00  0.230035402580340E-02
     0.192000000000000E+00  -.133769878719750E+01  0.413803410372836E-02  -.747545292373615E+00  0.231245474955111E-02
     0.193000000000000E+00  -.133772907263107E+01  0.415987819403507E-02  -.747528292976263E+00  0.232455637617276E-02
     0.194000000000000E+00  -.133775951749373E+01  0.418172687784280E-02  -.747511204856978E+00  0.233665891063543E-02
     0.195000000000000E+00  -.133779012181848E+01  0.420358018013850E-02  -.747494028009267E+00  0.234876235791043E-02
     0.196000000000000E+00  -.133782088563850E+01  0.422543812592788E-02  -.747476762426591E+00  0.236086672297319E-02
     0.197000000000000E+00  -.133785180898713E+01  0.424730074023563E-02  -.747459408102384E+00  0.237297201080354E-02
     0.198000000000000E+00  -.133788289189790E+01  0.426916804810534E-02  -.747441965030041E+00  0.238507822638547E-02
     0.199000000000000E+00  -.133791413440453E+01  0.429104007459978E-02  -.747424433202927E+00  0.239718537470736E-02
